Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
¿Qué describe mejor el modelo Serverless?,multiple-choice,Una arquitectura sin funciones,"Las funciones son el núcleo de Serverless.",Un modelo donde no hay servidores en la nube,"Aunque el nombre lo sugiere, sí hay servidores, pero AWS los gestiona por ti.",Un modelo de ejecución donde no gestionas servidores directamente,"Correcto. Serverless abstrae la infraestructura, tú solo te preocupas del código.",Una forma de acceder a AWS desde la consola,"Esto es una descripción de la consola, no de Serverless.",,,,,3,"Serverless permite ejecutar código sin aprovisionar ni gestionar servidores directamente, ideal para cargas event-driven.",Lambda
¿Qué servicio permite ejecutar código sin necesidad de gestionar servidores?,multiple-choice,AWS S3,"S3 es un servicio de almacenamiento.",Amazon EC2,"EC2 requiere que gestiones instancias.",AWS Lambda,"Correcto. Lambda es el servicio por excelencia para computación Serverless.",Amazon RDS,"RDS gestiona bases de datos, no funciones.",,,,,3,"AWS Lambda ejecuta código en respuesta a eventos sin necesidad de aprovisionar o administrar servidores.",Lambda
¿Cuál es la salida esperada al ejecutar una función Lambda "Hola Mundo" correctamente?,multiple-choice,Error de permisos,"Solo si la función no tiene permisos configurados.",Texto plano o JSON que diga 'Hola Mundo', "Correcto. La función puede devolver una cadena o un objeto JSON.",Un archivo HTML,"Esto sería en una Lambda que retorna una página web, no en el ejemplo básico.",Un evento S3,"Eso sería más bien un trigger, no un resultado.",,,,,2,"El ejemplo clásico de Lambda imprime o retorna un mensaje como 'Hola Mundo', útil para validar su ejecución.",Lambda
¿Qué archivo es útil para retornar una página web desde una URL Lambda?,multiple-choice,Un archivo .zip con logs,"Eso se usa para desplegar funciones, no para retornar archivos.",Un archivo YAML,"Se usa en CloudFormation, pero no define contenido web.",Un archivo HTML,"Correcto. La función Lambda puede retornar directamente el contenido de un archivo HTML.",Un archivo .env,"Este gestiona variables de entorno, no contenido web.",,,,,3,"Para retornar una página desde Lambda, se puede leer y retornar el contenido de un archivo HTML como respuesta HTTP.",Lambda
¿Qué problema puede ocurrir si tu Lambda no se invoca por mucho tiempo?,multiple-choice,Timeouts eternos,"No aplica por inactividad, sino por mala configuración.",Cold start,"Correcto. Un cold start ocurre cuando AWS tiene que inicializar de nuevo el entorno de ejecución.",Pérdida de datos,"No aplica directamente a funciones Lambda.",Falla del servicio de red,"No tiene relación directa con inactividad de funciones.",,,,,2,"El cold start es la latencia añadida cuando una función Lambda es invocada luego de estar inactiva por un periodo prolongado.",Lambda
¿Qué debes hacer para proteger una URL Lambda pública?,multiple-choice,Usar un bucket S3 versionado,"No es relevante para URLs.",Usar una base de datos relacional,"Tampoco aporta seguridad a una URL.",Implementar autenticación o firmas con AWS Signature v4,"Correcto. Esta es una forma robusta de proteger URLs Lambda.",Eliminar la función Lambda,"Eso evitaría el uso, pero no protege.",,,,,3,"Para asegurar una URL Lambda puedes implementar autenticación (como IAM o JWT) o usar firmas AWS Signature v4 para validar el acceso.",Lambda
¿Cuál es la diferencia entre los comandos 'aws cloudformation create-stack' y 'deploy'?,multiple-choice,create-stack permite actualizar stacks existentes,"Incorrecto. Ese comando solo crea, no actualiza.",deploy permite crear o actualizar un stack,"Correcto. 'deploy' es más versátil porque detecta si debe crear o actualizar.",create-stack es solo para SAM,"No, es un comando de CloudFormation estándar.",deploy elimina los stacks antiguos,"No es su propósito principal.",,,,,2,"'aws cloudformation deploy' crea o actualiza un stack automáticamente, mientras que 'create-stack' solo crea uno nuevo.",Lambda
¿Cuál de las siguientes es una ventaja principal de la computación serverless?,multiple-choice,Control total sobre los servidores,"Justamente lo opuesto. Serverless elimina la necesidad de administrar servidores.",Escalado automático sin intervención manual,"Correcto. Lambda escala automáticamente según la demanda.",Alta latencia por diseño,"Esto sería una desventaja, no una ventaja.",Acceso directo a hardware subyacente,"No se tiene acceso al hardware físico en Serverless.",,,,,2,"Una de las ventajas clave del modelo serverless es el escalado automático, ideal para cargas variables o picos inesperados.",Lambda
¿Qué lenguaje de programación **NO** es compatible actualmente con AWS Lambda?,multiple-choice,Python,"Totalmente compatible.",JavaScript / Node.js,"Compatible también.",C++,"Correcto. No es oficialmente soportado como entorno directamente.",Java,"Compatible y soportado.",,,,,3,"C++ no es un lenguaje soportado oficialmente por AWS Lambda, aunque se podría usar mediante binarios empaquetados, no es nativo.",Lambda
¿Qué factor puede reducir el impacto del cold start en una Lambda?,multiple-choice,Eliminar las variables de entorno,"No reduce el cold start y puede romper tu función.",Usar lenguajes como Python o Node.js,"Correcto. Lenguajes de ejecución más livianos reducen el tiempo de arranque.",Desplegar la función en otra región,"La región no afecta directamente al cold start.",Usar IAM Roles más pesados,"Esto puede incluso aumentar el tiempo de inicialización.",,,,,2,"Los lenguajes como Python y Node.js tienen tiempos de arranque más rápidos comparados con Java o .NET, lo que mitiga el impacto del cold start.",Lambda